"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Christian McCaffrey","RB","CAR",142,116,1005,95,1019,4,0.7,10.58,0.02,0.22,0.35,469.2
"2","Michael Thomas","WR","NO",185,149,1725,1484,587,9,8,1.16,0.39,0.32,0.75,374.6
"3","Aaron Jones","RB","GB",68,49,474,194,429,3,2.9,2.44,0.04,0.12,0.2,318.8
"4","Ezekiel Elliott","RB","DAL",71,54,420,56,395,2,0.8,7.5,0.01,0.12,0.19,315.7
"5","Austin Ekeler","RB","LAC",108,92,993,131,945,8,1.2,7.58,0.03,0.18,0.29,313
"6","Derrick Henry","RB","TEN",24,18,206,-38,229,2,-1.6,-5.42,-0.01,0.06,0.08,300.6
"7","Dalvin Cook","RB","MIN",63,53,519,-94,591,0,-1.5,-5.52,-0.03,0.15,0.21,296.4
"8","Chris Godwin","WR","TB",121,86,1333,1304,577,9,10.8,1.02,0.23,0.22,0.49,274.1
"9","Julio Jones","WR","ATL",157,99,1394,1908,369,6,12.2,0.73,0.37,0.25,0.63,274.1
"10","Cooper Kupp","WR","LA",134,94,1161,1007,538,10,7.5,1.15,0.21,0.21,0.46,270.5
"11","DeAndre Hopkins","WR","HOU",150,104,1165,1570,397,7,10.5,0.74,0.34,0.3,0.69,264.3
"12","Keenan Allen","WR","LAC",149,104,1199,1501,374,6,10.1,0.8,0.3,0.25,0.58,261.5
"13","Leonard Fournette","RB","JAC",100,76,522,27,550,0,0.3,19.33,0.01,0.18,0.28,261.4
"14","Nick Chubb","RB","CLE",49,36,278,-17,318,0,-0.3,-16.35,0,0.09,0.13,261.2
"15","Allen Robinson","WR","CHI",154,98,1147,1736,286,7,11.3,0.66,0.38,0.27,0.67,254.9
"16","Julian Edelman","WR","NE",153,100,1117,1473,320,6,9.6,0.76,0.3,0.25,0.58,250.4
"17","Alvin Kamara","RB","NO",97,81,533,44,550,1,0.5,12.11,0.01,0.19,0.3,250
"18","Kenny Golladay","WR","DET",116,65,1190,1756,304,11,15.1,0.68,0.32,0.2,0.53,250
"19","Amari Cooper","WR","DAL",119,79,1189,1456,278,8,12.2,0.82,0.26,0.2,0.48,246.5
"20","DeVante Parker","WR","MIA",128,72,1202,1783,268,9,13.9,0.67,0.33,0.21,0.54,246.2
"21","Saquon Barkley","RB","NYG",73,52,438,71,438,2,1,6.17,0.02,0.14,0.23,244.1
"22","Mark Ingram","RB","BAL",29,26,247,43,220,5,1.5,5.74,0.01,0.07,0.11,242.5
"23","Chris Carson","RB","SEA",47,37,266,-26,295,2,-0.6,-10.23,-0.01,0.1,0.14,240.6
"24","Jarvis Landry","WR","CLE",138,83,1174,1382,436,6,10,0.85,0.3,0.26,0.59,237.4
"25","Tyler Lockett","WR","SEA",110,82,1057,1367,305,8,12.4,0.77,0.28,0.21,0.51,235.2
"26","Robert Woods","WR","LA",139,90,1134,1175,576,2,8.5,0.97,0.25,0.23,0.51,232.9
"27","D.J. Moore","WR","CAR",135,87,1175,1499,384,4,11.1,0.78,0.31,0.23,0.56,232.5
"28","Mike Evans","WR","TB",118,67,1157,1809,256,8,15.3,0.64,0.35,0.23,0.59,230.7
"29","Tyler Boyd","WR","CIN",148,90,1046,1109,456,5,7.5,0.94,0.24,0.24,0.53,226.9
"30","Joe Mixon","RB","CIN",45,35,287,-13,331,3,-0.3,-22.08,0,0.07,0.11,225.4
"31","D.J. Chark","WR","JAC",118,73,1008,1333,348,8,11.3,0.76,0.33,0.21,0.54,223.8
"32","Todd Gurley","RB","LA",49,31,207,27,196,2,0.6,7.67,0.01,0.08,0.12,221.4
"33","Courtland Sutton","WR","DEN",124,72,1112,1471,352,6,11.9,0.76,0.41,0.25,0.65,220.9
"34","Miles Sanders","RB","PHI",63,50,509,124,420,3,2,4.1,0.03,0.1,0.17,218.7
"35","Stefon Diggs","WR","MIN",94,63,1130,1424,302,6,15.1,0.79,0.41,0.21,0.6,218.1
"36","A.J. Brown","WR","TEN",84,52,1051,1107,465,8,13.2,0.95,0.28,0.19,0.48,217.1
"37","Le'Veon Bell","RB","NYJ",78,66,461,43,440,1,0.6,10.72,0.01,0.16,0.25,215
"38","John Brown","WR","BUF",115,72,1060,1693,205,6,14.7,0.63,0.38,0.24,0.63,214.7
"39","Davante Adams","WR","GB",127,83,997,1270,388,5,10,0.79,0.33,0.29,0.67,212.7
"40","Michael Gallup","WR","DAL",113,66,1107,1376,333,6,12.2,0.8,0.28,0.21,0.52,212.7
"41","Odell Beckham","WR","CLE",133,74,1035,1764,341,4,13.3,0.59,0.38,0.25,0.63,202.5
"42","Devonta Freeman","RB","ATL",70,59,410,79,344,4,1.1,5.19,0.02,0.12,0.19,201.6
"43","James White","RB","NE",95,72,645,263,523,5,2.8,2.45,0.06,0.17,0.29,198.8
"44","Jamison Crowder","WR","NYJ",122,78,833,975,358,6,8,0.85,0.24,0.23,0.52,197.7
"45","Phillip Lindsay","RB","DEN",48,35,196,-49,243,0,-1,-4,-0.01,0.1,0.13,197.7
"46","Calvin Ridley","WR","ATL",93,63,866,1246,138,7,13.4,0.7,0.27,0.17,0.44,195
"47","Marvin Jones","WR","DET",91,62,779,1189,106,9,13.1,0.66,0.26,0.19,0.47,193.9
"48","Josh Jacobs","RB","OAK",27,20,166,-34,183,0,-1.3,-4.88,-0.01,0.07,0.09,193.6
"49","Terry McLaurin","WR","WAS",93,58,919,1299,217,7,14,0.71,0.41,0.22,0.62,191.9
"50","D.K. Metcalf","WR","SEA",100,58,900,1296,273,7,13,0.69,0.26,0.19,0.47,191.1
"51","Deebo Samuel","WR","SF",81,57,802,607,473,3,7.5,1.32,0.2,0.18,0.41,189.1
"52","Tyreek Hill","WR","KC",89,58,860,1149,275,7,12.9,0.75,0.38,0.21,0.58,188.3
"53","Melvin Gordon","RB","LAC",55,42,296,3,311,1,0.1,98.67,0,0.12,0.18,186.8
"54","Cole Beasley","WR","BUF",106,67,778,844,330,6,8,0.92,0.19,0.22,0.47,180.8
"55","Larry Fitzgerald","WR","ARI",109,75,804,846,353,4,7.8,0.95,0.2,0.2,0.44,179.4
"56","Marlon Mack","RB","IND",17,14,82,-5,80,0,-0.3,-16.4,0,0.04,0.06,179.3
"57","David Montgomery","RB","CHI",35,25,185,130,156,1,3.7,1.42,0.03,0.06,0.11,174.4
"58","Curtis Samuel","WR","CAR",105,54,627,1581,161,6,15.1,0.4,0.3,0.17,0.46,171.7
"59","Ronald Jones","RB","TB",40,31,309,71,285,0,1.8,4.35,0.01,0.06,0.1,170.3
"60","Darius Slayton","WR","NYG",84,48,740,1181,205,8,14.1,0.63,0.28,0.16,0.44,170
"61","Raheem Mostert","RB","SF",22,14,180,45,155,2,2,4,0.01,0.05,0.08,169.2
"62","Christian Kirk","WR","ARI",108,68,709,1079,286,3,10,0.66,0.31,0.23,0.56,166.2
"63","Tarik Cohen","RB","CHI",104,79,456,182,429,3,1.8,2.51,0.04,0.18,0.3,163.9
"64","Lamar Jackson","QB","BAL",0,0,0,3548,0,0,Inf,0,0.96,0,0.67,162.6
"65","Mike Williams","WR","LAC",90,49,1001,1626,187,2,18.1,0.62,0.34,0.16,0.47,161.3
"66","Diontae Johnson","WR","PIT",92,59,680,827,305,5,9,0.82,0.21,0.18,0.42,161.1
"67","Robby Anderson","WR","NYJ",96,52,779,1402,193,5,14.6,0.56,0.34,0.18,0.52,160.3
"68","Kenyan Drake","RB","ARI",35,28,171,-89,261,0,-2.5,-1.92,-0.05,0.13,0.17,157.4
"69","Carlos Hyde","RB","HOU",16,10,42,30,51,0,1.9,1.4,0.01,0.03,0.05,157.2
"70","Latavius Murray","RB","NO",43,34,235,-43,284,1,-1,-5.47,-0.01,0.07,0.1,157.2
"71","Randall Cobb","WR","DAL",83,55,828,855,329,3,10.3,0.97,0.16,0.15,0.34,156.9
"72","Duke Johnson","RB","HOU",62,44,410,205,361,3,3.3,2,0.04,0.12,0.2,156
"73","Sony Michel","RB","NE",20,12,94,50,96,0,2.5,1.88,0.01,0.03,0.06,154.6
"74","Chris Conley","WR","JAC",90,47,775,1260,252,5,14,0.62,0.29,0.15,0.43,154.5
"75","Golden Tate","WR","NYG",85,49,676,822,284,6,9.7,0.82,0.24,0.21,0.48,154.2
"76","Dede Westbrook","WR","JAC",101,66,660,664,319,3,6.6,0.99,0.17,0.19,0.4,152.7
"77","Adrian Peterson","RB","WAS",23,17,142,-43,161,0,-1.9,-3.3,-0.01,0.05,0.07,151
"78","Devin Singletary","RB","BUF",41,29,194,61,193,2,1.5,3.18,0.02,0.11,0.18,149.9
"79","James Conner","RB","PIT",38,34,251,-54,298,3,-1.4,-4.65,-0.02,0.11,0.15,147.5
"80","Marquise Brown","WR","BAL",71,46,584,782,226,7,11,0.75,0.23,0.18,0.44,146.4
